ElapsedTime,Time,01.TargetTemp,01.State
14266587,2010-01-05T04:52:25.702Z,850,0
14276589,2010-01-05T04:52:35.704Z,850,0
14286594,2010-01-05T04:52:45.709Z,850,0
14296598,2010-01-05T04:52:55.713Z,850,0
14306603,2010-01-05T04:53:05.718Z,850,0
14316609,2010-01-05T04:53:15.724Z,850,0
14326613,2010-01-05T04:53:25.728Z,850,0
14336616,2010-01-05T04:53:35.731Z,850,0
14346622,2010-01-05T04:53:45.737Z,850,0
14356625,2010-01-05T04:53:55.740Z,850,0
14366631,2010-01-05T04:54:05.746Z,850,0
14376635,2010-01-05T04:54:15.750Z,850,0
14386640,2010-01-05T04:54:25.755Z,850,0
14396642,2010-01-05T04:54:35.757Z,850,0
14406646,2010-01-05T04:54:45.761Z,850,0
14416653,2010-01-05T04:54:55.768Z,850,0
14426655,2010-01-05T04:55:05.770Z,850,0
14436661,2010-01-05T04:55:15.776Z,850,0
14446665,2010-01-05T04:55:25.780Z,850,0
14456669,2010-01-05T04:55:35.784Z,850,0
14466674,2010-01-05T04:55:45.789Z,850,0
14476676,2010-01-05T04:55:55.791Z,850,0
14486681,2010-01-05T04:56:05.796Z,850,0
14496687,2010-01-05T04:56:15.802Z,850,0
14506693,2010-01-05T04:56:25.808Z,850,0
14516696,2010-01-05T04:56:35.811Z,850,0
14526701,2010-01-05T04:56:45.816Z,850,0
14536703,2010-01-05T04:56:55.818Z,850,0
14546713,2010-01-05T04:57:05.828Z,850,0
14556715,2010-01-05T04:57:15.830Z,850,0
14566719,2010-01-05T04:57:25.834Z,850,0
14576722,2010-01-05T04:57:35.837Z,850,0
14586727,2010-01-05T04:57:45.842Z,850,0
14596731,2010-01-05T04:57:55.846Z,850,0
14606735,2010-01-05T04:58:05.850Z,850,0
14616738,2010-01-05T04:58:15.853Z,850,0
14626746,2010-01-05T04:58:25.861Z,850,0
14636749,2010-01-05T04:58:35.864Z,850,0
14646753,2010-01-05T04:58:45.868Z,850,0
14656757,2010-01-05T04:58:55.872Z,850,0
14666761,2010-01-05T04:59:05.876Z,850,0
14676766,2010-01-05T04:59:15.881Z,850,0
14686771,2010-01-05T04:59:25.886Z,850,0
14696776,2010-01-05T04:59:35.891Z,850,0
14706780,2010-01-05T04:59:45.895Z,850,0
14716785,2010-01-05T04:59:55.900Z,850,0
